time,z,phi,theta,z_dot,phi_dot,theta_dot,u1_fl,u2_fr,u3_rl,u4_rr
0.0,0.2,0.3,-0.2,0.0,0.0,0.0,-0.0005119089,0.00028613163,0.0005422272,7.605413e-05
0.01,0.1995318765311746,0.2994525405345428,-0.19955935049064036,-0.09055803712907196,-0.10672065642697247,0.08541933059903019,-0.00025681034,0.00037366245,0.0008610785,0.00011889404
0.02,0.1982447730201928,0.29791743364938167,-0.198341393351859,-0.16429004810463244,-0.19786549425909403,0.1558695749741662,-0.0002967706,0.00034731673,0.0007918924,0.00022984901
0.03,0.19629297723742,0.2955407696885504,-0.19648422784965194,-0.22391261281055297,-0.27532888071663447,0.21360912184455028,-0.00030839723,0.0003927513,0.00072340295,0.00032784278
0.04,0.19380581811475223,0.29245082778719195,-0.19410507368364407,-0.2717131786290723,-0.3407832385953562,0.2605642637286255,-0.00034448877,0.0003835135,0.00046971068,0.00049634883
0.05,0.19089160603246783,0.2887601583384372,-0.19130334076324007,-0.3096183156718929,-0.39570588711217813,0.2983781413080081,-0.0003756024,0.0003738976,0.00025151297,0.0006430778
0.06,0.18764095198661138,0.28456742279578323,-0.18816324855460487,-0.33925003265757975,-0.4414008474955665,0.3284520877016296,-0.00038892403,0.00037859706,0.0001559779,0.000714391
0.07,0.18412956648435222,0.279959023299685,-0.18475606300562764,-0.36197375082029165,-0.4790190988094679,0.3519809280010879,-0.0003904486,0.0003914726,0.00013959408,0.00073687034
0.08,0.18042061768244852,0.2750105412286314,-0.18114200671456385,-0.3789386979323748,-0.5095765826948483,0.3699831655847924,-0.0003904486,0.0004016417,0.00012960657,0.0007550712
0.09,0.17656671847698913,0.26978800756361604,-0.1773718897916664,-0.39111190681204844,-0.5339698847327768,0.3833267730212774,-0.00038898736,0.00040949835,0.00012499094,0.00076955976
0.1,0.17261160132847556,0.26434902689099027,-0.17348850207740696,-0.39930682383294386,-0.5529898685094394,0.392751228761694,-0.00035157148,0.0004183366,0.00015095621,0.0007746597
