time,z,phi,theta,z_dot,phi_dot,theta_dot,u1_fl,u2_fr,u3_rl,u4_rr
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00023664441,0.00043547852,0.00033748522,0.0003106636
0.01,3.3041157148545606e-09,-4.906592764205933e-09,3.2997920470734243e-09,6.391780235571788e-07,-9.564814084976625e-07,6.396603690461689e-07,-0.0002366472,0.00043547666,0.00033748522,0.0003106608
0.02,1.2388758320501908e-08,-1.866496869085573e-08,1.2420444086224571e-08,1.1595924793569725e-06,-1.7733680358502436e-06,1.167227585396749e-06,-0.0002366472,0.00043547852,0.00033748895,0.0003106636
0.03,2.616495645868423e-08,-3.9965803254624326e-08,2.632784136826872e-08,1.5804259835115834e-06,-2.4676333219479336e-06,1.5996161320318804e-06,-0.00023664441,0.0004354776,0.00033749267,0.00031066174
0.04,4.371992229031884e-08,-6.765930242388506e-08,4.414420517739766e-08,1.91781957633675e-06,-3.054250966613592e-06,1.951244672509755e-06,-0.00023664907,0.00043547899,0.00033749267,0.0003106636
0.05,6.428917322472077e-08,-1.007366941819233e-07,6.51251348458427e-08,2.1853660579215916e-06,-3.5464864272260064e-06,2.2344256850719657e-06,-0.00023664907,0.00043547666,0.00033749267,0.0003106608
0.06,8.72331156201015e-08,-1.383137071441483e-07,8.863997340313497e-08,2.394511735648836e-06,-3.956007354987694e-06,2.4596437823223337e-06,-0.00023665093,0.00043547526,0.00033749267,0.000310658
0.07,1.1201731963486491e-07,-1.7961589196867502e-07,1.1415502933623963e-07,2.554894719495751e-06,-4.293137910358686e-06,2.6358479537487403e-06,-0.00023665186,0.0004354776,0.00033749267,0.0003106636
0.08,1.381959419417879e-07,-2.2396591832770853e-07,1.4121934412255883e-07,2.6746374656426e-06,-4.567002273950372e-06,2.7706705726449275e-06,-0.00023664813,0.0004354776,0.00033749267,0.0003106636
0.09,1.6539767479536793e-07,-2.707720368747163e-07,1.6945240789433028e-07,2.7605618811599016e-06,-4.78561541238297e-06,2.8705993373087186e-06,-0.00023665,0.00043547666,0.0003374964,0.00031065987
0.1,1.9331384487979178e-07,-3.195179023499155e-07,1.9853376629652842e-07,2.8184040096878602e-06,-4.956062187835892e-06,2.9411823812285175e-06,-0.0002366472,0.00043547852,0.0003374964,0.0003106636
0.11,2.2168851505235975e-07,-3.697538372845965e-07,2.2819414629400192e-07,2.8530006942188795e-06,-5.084608030504505e-06,2.987130070344143e-06,-0.00023665093,0.00043547666,0.00033749267,0.0003106636
0.12,2.5031003624027217e-07,-4.2108897757591535e-07,2.582078333983669e-07,2.868395522254958e-06,-5.176765709259098e-06,3.0124619763898063e-06,-0.00023664907,0.00043547573,0.00033748522,0.0003106608
0.13,2.790039418457625e-07,-4.731841925793068e-07,2.8838611753615936e-07,2.8679994423009743e-06,-5.2373828820907685e-06,3.020575987379887e-06,-0.00023665093,0.0004354776,0.00033749267,0.0003106636
0.14,3.076271389088049e-07,-5.257458858305663e-07,3.1857191653663496e-07,2.854691395837193e-06,-5.2707305909224735e-06,3.0144116758422874e-06,-0.00023665093,0.00043547666,0.00033749267,0.00031066453
0.15,3.3606282435045335e-07,-5.785205914812098e-07,3.486350586756199e-07,2.830864462431528e-06,-5.280574305836178e-06,2.9964246129014406e-06,-0.00023665093,0.0004354776,0.00033748895,0.0003106636
0.16,3.642161652455861e-07,-6.31290210415904e-07,3.7846803922949485e-07,2.7985305009925834e-06,-5.27023113103345e-06,2.968702379934321e-06,-0.00023665093,0.00043547805,0.00033749267,0.00031066732
0.17,3.920108296429782e-07,-6.838677177407148e-07,4.0798275789553863e-07,2.7593868164158676e-06,-5.242607346961585e-06,2.9330457446682726e-06,-0.00023664813,0.00043547573,0.00033749267,0.00031066267
0.18,4.19385942121359e-07,-7.360933002456331e-07,4.371075344991699e-07,2.7148359710672586e-06,-5.200246563426123e-06,2.8909463623521535e-06,-0.00023664907,0.0004354776,0.00033749267,0.00031066546
0.19,4.4629354922927167e-07,-7.878311948495789e-07,4.657845778756625e-07,2.6660658916441646e-06,-5.145420622008893e-06,2.8436955671356202e-06,-0.00023664813,0.00043547805,0.00033749267,0.00031066174
0.2,4.72696512925568e-07,-8.389667411429142e-07,4.939678872818152e-07,2.614057741575076e-06,-5.080084974037991e-06,2.7923660354935473e-06,-0.00023665093,0.0004354776,0.00033749267,0.0003106636
0.21,4.985666945962698e-07,-8.89403741153365e-07,5.216214633000499e-07,2.5596347696875187e-06,-5.005980961267808e-06,2.7378890034958473e-06,-0.00023665093,0.00043547805,0.00033748895,0.00031066546
0.22,5.238834730603879e-07,-9.39062254507923e-07,5.487177406138551e-07,2.503481231913505e-06,-4.92462352392335e-06,2.6810247502133384e-06,-0.00023665093,0.0004354776,0.00033748895,0.00031066174
0.23,5.486324610116782e-07,-9.878764289149647e-07,5.752361896225481e-07,2.4461630810683596e-06,-4.837319763374724e-06,2.622423050361807e-06,-0.00023665,0.0004354776,0.00033748895,0.00031066546
0.24,5.728044754076573e-07,-1.0357927721198134e-06,6.011622975252194e-07,2.3881577415636676e-06,-4.7452373674524406e-06,2.5626399539610527e-06,-0.00023664813,0.00043547666,0.00033748895,0.00031066174
0.25,5.963946145960585e-07,-1.0827685829064104e-06,6.264865506406244e-07,2.329846909386162e-06,-4.649370610171839e-06,2.502122265683142e-06,-0.00023665279,0.00043547852,0.00033749267,0.00031066546
0.26,6.194015031028352e-07,-1.1287706187934935e-06,6.512036913573482e-07,2.2715557202405958e-06,-4.550618792927694e-06,2.441275359291463e-06,-0.00023664813,0.0004354776,0.00033749267,0.0003106664
0.27,6.418266839831375e-07,-1.1737738448878473e-06,6.753119619257301e-07,2.213544661517747e-06,-4.449727545547544e-06,2.3803969324471707e-06,-0.00023664907,0.0004354748,0.00033749267,0.00031065894
